Target;Source;Type;Timestamp
17759;2;directed;2
24239;10;directed;2
30044;109;directed;2
9886;208;directed;2
32730;303;directed;2
985857;303;directed;2
7263;355;directed;2
14130;355;directed;2
985857;439;directed;2
3871;617;directed;2
292256;617;directed;2
18432;823;directed;2
232765;872;directed;2
3556;962;directed;2
57695;962;directed;2
73646;962;directed;2
84218;962;directed;2
6221;963;directed;2
9961;963;directed;2
36692;963;directed;2
778548;963;directed;2
7170;964;directed;2
932682;974;directed;2
2259;986;directed;2
46271;986;directed;2
778548;986;directed;2
8961;992;directed;2
8952;995;directed;2
9049;995;directed;2
21503;995;directed;2
23402;995;directed;2
105379;995;directed;2
130881;995;directed;2
168754;995;directed;2
169008;995;directed;2
566757;995;directed;2
778548;995;directed;2
884982;995;directed;2
985923;995;directed;2
24239;1003;directed;2
51735;1005;directed;2
57695;1005;directed;2
9293;1161;directed;2
23250;1199;directed;2
36560;1199;directed;2
63689;1199;directed;2
78679;1199;directed;2
107174;1199;directed;2
111792;1199;directed;2
132090;1199;directed;2
134802;1199;directed;2
3750;1445;directed;2
884982;1445;directed;2
7858;1564;directed;2
48639;1565;directed;2
167513;1565;directed;2
18432;1568;directed;2
40942;1569;directed;2
23402;1779;directed;2
63957;1779;directed;2
193794;1779;directed;2
827491;1779;directed;2
884982;1779;directed;2
1049755;1779;directed;2
69114;1831;directed;2
232765;1831;directed;2
1818091;1831;directed;2
6077888;1831;directed;2
7170;1900;directed;2
94127;1900;directed;2
99950;1900;directed;2
397725;1900;directed;2
3307455;1934;directed;2
6453;1954;directed;2
35944;1954;directed;2
41509;1954;directed;2
44764;1954;directed;2
53543;1954;directed;2
60188;1954;directed;2
105379;1954;directed;2
109492;1954;directed;2
168754;1954;directed;2
836391;1954;directed;2
3318137;1954;directed;2
2080;2077;directed;2
18432;2077;directed;2
985857;2077;directed;2
3301;2084;directed;2
18432;2084;directed;2
985857;2084;directed;2
177183;10;directed;2
8961;208;directed;2
18766;303;directed;2
985857;465;directed;2
18564;617;directed;2
19216;617;directed;2
20020;617;directed;2
397725;651;directed;2
3301;869;directed;2
53543;896;directed;2
14144;962;directed;2
111902;962;directed;2
177183;963;directed;2
8260;964;directed;2
985857;966;directed;2
164119;974;directed;2
244716;979;directed;2
18432;986;directed;2
1049755;989;directed;2
2832618;992;directed;2
3460;995;directed;2
8209;995;directed;2
19076;995;directed;2
60188;995;directed;2
177183;995;directed;2
195918;995;directed;2
916626;995;directed;2
932682;995;directed;2
40942;102;directed;2
46703;109;directed;2
2695;184;directed;2
2068945;184;directed;2
49024;303;directed;2
272670;303;directed;2
320704;439;directed;2
9930;465;directed;2
53543;465;directed;2
273619;617;directed;2
96026;686;directed;2
2963;869;directed;2
841624;873;directed;2
22627;896;directed;2
6396;963;directed;2
3662;303;directed;2
8209;303;directed;2
8260;303;directed;2
50770;303;directed;2
105379;303;directed;2
224280;355;directed;2
181102;439;directed;2
40942;465;directed;2
3750;617;directed;2
177183;651;directed;2
3287;869;directed;2
1059949;869;directed;2
873;872;directed;2
17413;2808;directed;2
120944;2808;directed;2
18432;2856;directed;2
40942;2907;directed;2
2904;3080;directed;2
23250;3080;directed;2
27553;3080;directed;2
158695;3080;directed;2
2522079;3080;directed;2
4796;3082;directed;2
49120;3082;directed;2
25655;3088;directed;2
75612;3088;directed;2
113904;3088;directed;2
244809;3088;directed;2
1373431;3142;directed;2
2963;3267;directed;2
150604;3448;directed;2
89643;3460;directed;2
1818091;3460;directed;2
1059949;3532;directed;2
6931;3569;directed;2
92464;3569;directed;2
53543;3631;directed;2
2808;3662;directed;2
32414;3662;directed;2
286355;3730;directed;2
39310;3741;directed;2
20644;3750;directed;2
40942;3750;directed;2
57188;3750;directed;2
3871;3832;directed;2
98656;3832;directed;2
5305;3871;directed;2
7169;3871;directed;2
33495;3871;directed;2
232765;3871;directed;2
566757;3871;directed;2
856;1003;directed;2
55662;1003;directed;2
985857;1003;directed;2
9782;1005;directed;2
7736;1199;directed;2
17700;1199;directed;2
24239;1199;directed;2
24612;1199;directed;2
29727;1199;directed;2
39559;1199;directed;2
56364;1199;directed;2
96171;1199;directed;2
105379;1199;directed;2
169008;1199;directed;2
224280;1199;directed;2
292256;1199;directed;2
566757;1199;directed;2
778548;1199;directed;2
1818091;1199;directed;2
778548;3871;directed;2
836391;3871;directed;2
884982;3871;directed;2
87176;3892;directed;2
11967;3917;directed;2
18432;3917;directed;2
1672862;4073;directed;2
267860;4096;directed;2
789013;4122;directed;2
89643;4153;directed;2
7526;4203;directed;2
8961;4725;directed;2
303;4810;directed;2
133141;4875;directed;2
4608;4896;directed;2
3448;5091;directed;2
6070;5091;directed;2
29876;5091;directed;2
