Target;Source;Type;
3250792;208;directed;
3272060;686;directed;
3272060;963;directed;
3250792;974;directed;
3272060;979;directed;
3272060;995;directed;
3272060;1199;directed;
3272060;1565;directed;
3272060;1831;directed;
3382184;1934;directed;
3296681;1954;directed;
4998169;2084;directed;
3250792;963;directed;
3272060;974;directed;
3272060;992;directed;
3272060;10;directed;
3272060;203;directed;
3272060;303;directed;
3189691;872;directed;
3303742;10;directed;
5113162;208;directed;
3272060;465;directed;
3272060;651;directed;
3272060;733;directed;
3272060;3662;directed;
704573;3741;directed;
704573;3871;directed;
3807624;995;directed;
3272060;1145;directed;
3272060;3871;directed;
3533889;3871;directed;
3911929;3871;directed;
3272060;4073;directed;
3272060;4096;directed;
3272060;5009;directed;
3272060;5091;directed;
3929715;5101;directed;
3189691;995;directed;
3266217;995;directed;
3412856;896;directed;
3272060;986;directed;
3189691;1199;directed;
3807624;1199;directed;
3272060;1003;directed;
3382184;1199;directed;
3929715;1199;directed;
4868633;1199;directed;
3382184;995;directed;
3929715;995;directed;
3189691;1779;directed;
3291606;1779;directed;
3462469;1779;directed;
3929715;1779;directed;
3272060;1779;directed;
3533889;1779;directed;
6182935;1779;directed;
3493873;1779;directed;
3291606;1954;directed;
3382184;1954;directed;
3272060;2077;directed;
3291606;1900;directed;
3272060;3080;directed;
3272060;3448;directed;
3272060;2084;directed;
3272060;2198;directed;
4942483;2213;directed;
3272060;2904;directed;
3266217;3080;directed;
3382184;3741;directed;
23390;3080;directed;
3272060;3741;directed;
7648387;3871;directed;
3272060;3876;directed;
3303742;4096;directed;
3272060;4203;directed;
3538598;4541;directed;
704573;3631;directed;
3189691;3871;directed;
3266217;3871;directed;
3382184;3871;directed;
3538598;3871;directed;
3929715;3871;directed;
6150564;3871;directed;
3272060;3892;directed;
3272060;3941;directed;
3303742;4073;directed;
3272060;4278;directed;
3272060;4796;directed;
3577221;5101;directed;
3272060;5305;directed;
4942483;4096;directed;
3266217;5101;directed;
3266217;5305;directed;
3382184;5305;directed;
23390;5823;directed;
3929715;6084;directed;
3272060;5101;directed;
3272060;5728;directed;
3189691;6240;directed;
3929715;6240;directed;
4998169;6240;directed;
3272060;6240;directed;
3577221;6240;directed;
3911929;6240;directed;
3272060;6258;directed;
3266217;6400;directed;
3272060;6408;directed;
6150564;5823;directed;
3382184;5993;directed;
3272060;6221;directed;
23390;6240;directed;
3462469;6240;directed;
5547304;6240;directed;
7648387;6240;directed;
3266217;6258;directed;
3929715;6258;directed;
3272060;6400;directed;
3272060;6599;directed;
3272060;7125;directed;
3911929;7125;directed;
3272060;7261;directed;
3272060;7526;directed;
3272060;6396;directed;
3493873;6468;directed;
3272060;7082;directed;
3189691;7125;directed;
3266217;7125;directed;
3929715;7129;directed;
3929715;7261;directed;
3272060;7687;directed;
3272060;8648;directed;
3189691;7122;directed;
3291606;7125;directed;
3250792;7257;directed;
3272060;7257;directed;
3266217;7261;directed;
5547304;9779;directed;
3272060;10044;directed;
3272060;10058;directed;
3272060;10227;directed;
3382184;10488;directed;
3266217;10967;directed;
3272060;8209;directed;
3272060;8902;directed;
3736849;13395;directed;
3929715;13395;directed;
3272060;14403;directed;
3382184;14765;directed;
3189691;10227;directed;
3382184;10227;directed;
3272060;11037;directed;
3272060;13094;directed;
3272060;13395;directed;
3272060;14765;directed;
3272060;15030;directed;
3272060;15331;directed;
3272060;14955;directed;
3272060;14957;directed;
3225214;17141;directed;
3266217;17413;directed;
3272060;8925;directed;
3250792;9215;directed;
3272060;9236;directed;
3272060;17413;directed;
3272060;17715;directed;
3272060;18556;directed;
3493873;18556;directed;
3272060;18860;directed;
3272060;18992;directed;
3272060;19076;directed;
3272060;20180;directed;
3272060;23272;directed;
3272060;23402;directed;
3291606;19076;directed;
3412856;19076;directed;
3538598;19076;directed;
3272060;20020;directed;
3272060;26243;directed;
3272060;26463;directed;
3462469;29214;directed;
3272060;9779;directed;
3272060;9886;directed;
3272060;9888;directed;
3272060;22909;directed;
3272060;30172;directed;
3272060;32731;directed;
3272060;34369;directed;
3272060;34854;directed;
3272060;10488;directed;
3272060;10967;directed;
3382184;11961;directed;
704573;11978;directed;
3272060;11978;directed;
3382184;30172;directed;
5113162;30409;directed;
23390;30741;directed;
3348942;30874;directed;
3272060;31268;directed;
3272060;31284;directed;
3272060;31817;directed;
3272060;5800;directed;
3249585;5823;directed;
3267196;5823;directed;
3807624;5823;directed;
10482934;5823;directed;
3272060;5920;directed;
3272060;5993;directed;
3272060;6084;directed;
3272060;13271;directed;
3189691;13395;directed;
4998169;13524;directed;
3272060;13691;directed;
3929715;33234;directed;
3929715;34219;directed;
3493873;34389;directed;
3291606;6240;directed;
6182935;6240;directed;
3272060;6288;directed;
3272060;44896;directed;
3272060;49123;directed;
3272060;49661;directed;
3208920;50240;directed;
3272060;16065;directed;
4615601;37359;directed;
3272060;51565;directed;
5454928;51996;directed;
3272060;56762;directed;
3272060;62810;directed;
3266217;70355;directed;
3272060;74661;directed;
3382184;75324;directed;
3272060;41747;directed;
3272060;17267;directed;
3272060;17928;directed;
3382184;18556;directed;
3272060;18719;directed;
3272060;19455;directed;
3272060;20157;directed;
3272060;21370;directed;
3272060;22747;directed;
3250792;80816;directed;
3272060;83969;directed;
3929715;86521;directed;
3291606;95446;directed;
3189691;96396;directed;
3929715;96396;directed;
3272060;97776;directed;
3291606;108347;directed;
3291606;108349;directed;
3272060;108672;directed;
3272060;108787;directed;
3929715;124423;directed;
3272060;129526;directed;
3577221;129526;directed;
3272060;130648;directed;
3291606;136392;directed;
3189691;174794;directed;
3291606;186109;directed;
5547304;212879;directed;
3272060;259551;directed;
3272060;292256;directed;
3382184;49661;directed;
3272060;51255;directed;
3250792;52280;directed;
3272060;54814;directed;
3272060;56488;directed;
3322049;56488;directed;
3272060;56518;directed;
4998169;25472;directed;
3272060;25489;directed;
3272060;25655;directed;
3266217;398438;directed;
3272060;459868;directed;
3493873;467803;directed;
3272060;779141;directed;
1990087;856482;directed;
3250792;866503;directed;
3272060;870875;directed;
3272060;883111;directed;
3272060;985857;directed;
3272060;60683;directed;
3493873;61450;directed;
3236607;26331;directed;
4942483;26463;directed;
3929715;28405;directed;
4998169;28580;directed;
3272060;29240;directed;
3272060;1331975;directed;
4615601;1504640;directed;
4868633;1504640;directed;
3250792;1530004;directed;
3807624;1530004;directed;
3322049;1704666;directed;
3348942;1704666;directed;
3807624;72200;directed;
3272060;74653;directed;
3189691;74661;directed;
5547304;30172;directed;
3272060;33234;directed;
4998169;33237;directed;
3250792;1861093;directed;
3272060;2016667;directed;
3291606;2052962;directed;
3272060;2100344;directed;
3382184;2327612;directed;
3272060;2559336;directed;
3322049;2765137;directed;
3272060;77595;directed;
3272060;96396;directed;
3493873;96396;directed;
3272060;102246;directed;
3620;3166224;directed;
3325514;3189691;directed;
6221;3199655;directed;
50240;3208920;directed;
3322049;3217361;directed;
3348942;3217361;directed;
90075;3250792;directed;
453236;3272060;directed;
1017115;3272060;directed;
1397211;3272060;directed;
3807624;3318137;directed;
1704666;3322049;directed;
2386186;3322049;directed;
2849929;3322049;directed;
3348942;3322049;directed;
2582425;3348942;directed;
4868633;3348942;directed;
2892110;3382184;directed;
55635;3426066;directed;
3348942;3472830;directed;
2313223;3529803;directed;
4868633;3531894;directed;
10058;3533889;directed;
938990;3639174;directed;
3272060;3715423;directed;
4868633;3750596;directed;
16432;3807624;directed;
3929715;4637141;directed;
3472830;4868633;directed;
2313223;5454928;directed;
3272060;5829131;directed;
4615601;6544719;directed;
3272060;6611460;directed;
3639174;34389;directed;
3272060;35842;directed;
3929715;36486;directed;
