Id;Label;Dev;Popularity
2;jmettraux;0.00000;15
10;mcollina;169.897;24
80;chrisjaure;347.712;8
102;luislavena;269.897;2
109;jfirebaugh;130.103;0
166;powmedia;200.000;0
184;xdissent;284.510;0
203;seanmonstar;100.000;0
208;alexgorbatchev;384.510;1
303;Marak;269.897;91
304;jdavis;147.712;32
337;albertsun;100.000;1
355;christkv;5.485.733;2
388;kjbekkelund;811.394;8
421;icco;200.000;3
436;taichi;532.222;4
439;okuryu;0.30103;0
446;Fodi69;130.103;0
465;andrew;841.497;541
519;rochoa;825.527;0
542;iki;472.428;1
545;fawek;138.021;9
601;budparr;484.510;0
617;brianloveswords;130.103;5
651;passy;820.412;7
671;JohnSpeno;200.000;2
686;insin;100.000;34
733;ericf;100.000;3
777;frewsxcv;304.139;1
779;lhagan;130.103;0
823;lmorchard;100.000;0
840;voidfiles;469.897;1
856;yawnt;900.860;11
862;sylvestre;0.30103;0
869;brson;2.085.309;4
872;pcwalton;1.101.703;2
873;ttaubert;125.527;10
896;JakeWharton;100.000;0
901;BenoitZugmeyer;277.815;2
947;leon;100.000;1
962;bcantrill;0.90309;0
963;bnoordhuis;7.930.320;154
964;bigeasy;130.103;1
966;chobie;100.000;4
969;mapchat;130.103;0
974;piscisaureus;1.864.345;9
979;IgorMinar;230.103;0
986;vojtajina;3.408.279;4
989;cburgdorf;0.60206;1
990;marcenuc;247.712;1
991;roman-neuhauser;247.712;0
992;saghul;3.586.332;11
995;isaacs;5.757.287;4
1001;philips;347.712;76
1002;gyohng;0.00000;0
1003;mmalecki;949.136;10
1005;mcavage;130.103;0
1058;Kami;100.000;5
1076;aweeks;0.00000;0
1145;Gozala;230.103;0
1161;erikvold;347.712;0
1163;phihag;0.00000;0
1175;dcrewi;927.875;0
1194;fixe;130.103;7
1199;substack;130.103;13
1293;sym3tri;0.00000;4
1327;donpark;190.309;9
1361;runner-mei;0.00000;0
1368;carlos8f;130.103;6
1445;dariusk;147.712;1
1505;LPGhatguy;100.000;0
1526;nolith;100.000;0
1549;asgeo1;0.77815;0
1550;pborreli;707.918;6
1554;LaurentGoderre;690.309;2
1558;benburkert;100.000;0
1564;rtomayko;130.103;0
1565;josh;627.875;1
1568;qmx;230.103;1
1569;tekkub;0.00000;5
1635;robin850;323.045;6
1689;tedtate;130.103;0
