id;Label;Dev;Popularity
2052962;chunpu;1.00000;0
184;xdissent;2.30103;0
388;kjbekkelund;2.30103;0
856;yawnt;9.00860;8
872;pcwalton;2.24055;0
963;bnoordhuis;65.47129;4
995;isaacs;23.34242;1
1145;Gozala;0.00000;0
1199;substack;0.00000;0
1558;benburkert;1.00000;0
1772;hornairs;0.30103;0
1831;dominictarr;0.00000;0
1981;graydon;2.89763;1
2017;paulstansifer;0.00000;0
2026;msullivan;1.89209;0
788957;aaronlaursen;0.30103;0
3017;wilkinson;1.00000;1
3060;crabtw;0.77815;0
3144;utkarshkukreti;1.00000;0
19029;pilwon;2.60206;1
20165;tkellen;1.47712;0
21594;kkaefer;0.00000;0
21921;CaryLandholt;0.00000;0
23250;mafintosh;0.30103;8
23309;sergeche;2.04139;0
811626;janekptacijarabaci;6.41497;0
23548;jasonroelofs;0.00000;0
46314;tivac;0.00000;3
47475;saxamaphone69;0.30103;0
2087681;muratgu;1.00000;0
48418;marcgreenstock;2.47712;0
48545;shigeya;5.90309;0
49070;laverdet;0.77815;0
49261;rniemeyer;6.84510;0
50576;novalis;0.90309;1
78141;gfxmonk;1.30103;0
78652;blainsmith;1.47712;2
79368;vladikoff;14.04139;5
866503;cgole;0.47712;0
82905;dpatti;0.00000;0
106001;sanandnarayan;2.30103;0
1545672;sfackler;1.79934;0
107055;feiyunruyue;1.00000;5
895840;cgross;1.84510;1
111392;inadarei;1.00000;0
141540;quarterto;1.00000;4
172501;recrack;1.11394;0
952103;mike-spainhower;1.00000;0
959421;torsneyt;4.00000;0
178440;radium-v;1.00000;2
206736;pedrocorreia;1.00000;0
2210040;jakemcguire;0.30103;0
211657;michaelwoerister;1.89763;0
212634;wyuenho;15.63347;5
2236432;witchu;1.30103;0
2238186;YKEIKGUM;0.30103;0
251860;lucab;0.77815;0
290914;toranb;1.84510;1
348049;roysc;0.00000;0
1118018;J;1.14613;0
355308;orbiteleven;1.30103;0
391067;sbrekken;0.00000;0
1200601;pflannery;2.47712;0
2389900;OOWECLTM;0.69897;0
2393812;alex-ter;2.30103;0
2397106;brenoc;1.30103;8
528557;mokkabonna;6.17609;1
528643;DanRosenwasser;0.00000;0
535454;hashseed;0.00000;0
2472939;PTJTPMJN;0.30103;0
1973803;aigarsdz;0.60206;0
738733;sateffen;0.00000;1
750978;aaronyo;1.00000;0
2579302;MYLOCEUB;1.14613;0
13524;ForbesLindesay;0.00000;0
14501;chris-morgan;10.18184;0
15092;SiegeLord;1.14613;0
15764;ah01;0.00000;0
16480;qrush;0.00000;0
17141;steveklabnik;1.30103;2
17716;einaros;0.00000;0
17759;mattn;1.69897;115
17884;Panya;1.65321;1
18136;saschagehlich;2.90309;0
18459;sankage;0.00000;0
37038;sorribas;0.60206;1
39310;cobyism;7.39794;42
1492108;DFMRJVHR;0.00000;0
39721;threepointone;0.00000;0
40848;reezer;1.47712;2
2085486;Roland1975;1.00000;0
44213;sankha93;0.30103;1
44490;jsoverson;4.90309;12
44949;JacopKane;3.30103;5
71014;jbussdieker;0.30103;0
72200;spikebrehm;0.00000;1
74699;ngryman;0.00000;2
75308;hanikesn;0.47712;0
75324;jonathanong;41.43136;5
100787;andreypopp;1.00000;10
100962;distler;1.60206;1
101212;KevinTCoughlin;1.30103;18
101448;a3gis;0.47712;3
101955;jzelinskie;0.30103;2
102291;MarkJr94;0.77815;5
105192;racklin;3.77815;1
105735;jmgrosen;2.30103;2
131337;DCECXTIT;1.34242;0
131703;cmr;6.62325;1
133141;chrisirhc;4.49136;1
133595;sukima;1.30103;3
136392;island205;2.77815;49
2178263;twoRoger;0.30103;0
168873;matsko;0.00000;4
168923;Siyfion;1.00000;0
168941;CMTegner;1.00000;0
169073;skaterdav85;1.30103;3
201956;satyr;0.60206;0
204864;wadetandy;1.47712;0
236309;afroald;0.00000;0
2228167;RXKBHHDK;0.47712;0
2228276;kkoopa;24.14301;1
237638;also;1.30103;0
14779;skade;1.30103;1
15030;davglass;3.60206;9
15716;lukeapage;19.12385;0
15901;stevenharman;1.30103;1
16065;jonschlinkert;3.30103;9
16084;bruno-c;0.30103;4
16617;dennismartensson;1.00000;0
42755;robocoder;2.30103;0
43608;kapouer;3.95424;0
45064;drewish;2.00000;0
74160;WEBGBYNR;1.44716;0
76532;chrisabrams;1.00000;0
102235;ahodesuka;0.00000;0
105379;ManInTheBox;0.00000;6
131433;louischatriot;1.00000;0
131435;timkuijsten;0.00000;0
133738;AsaAyers;15.60206;0
134426;calebegg;1.00000;0
2152204;DPWQFULP;0.47712;0
164590;sigerello;1.00000;0
2178626;frontsidebus;0.00000;0
946500;stereokai;0.00000;1
948019;akhleung;2.66276;0
237240;Florob;0.84510;0
2229334;KNDFGHYD;1.04139;0
238727;mgmarino;1.00000;2
1057051;DeniSix;2.47712;0
1057337;Thiez;0.00000;0
2298305;VCOHSXTY;0.84510;0
337498;pimterry;1.60206;7
1735093;quadroid;1.00000;1
394637;kolorahl;2.00000;0
395908;tyrsius;0.00000;0
408493;brenmar;1.00000;0
437370;Mark-Otaris;1.00000;15
440513;SLaks;27.13033;0
2382754;tikue;10.61278;0
450827;carldanley;2.47712;0
1857162;JackEllis;1.30103;0
1913217;sstewartgallus;1.27875;0
653080;schlamar;0.00000;0
974;piscisaureus;16.03342;0
992;saghul;1.47712;3
1175;dcrewi;9.27875;0
1779;paulirish;0.47712;24
1979;nikomatsakis;1.76343;0
1980;erickt;2.35603;1
2030;catamorphism;6.17609;1
2078;eholk;0.00000;0
2080;jdm;1.88081;0
2264;kballard;3.07555;0
2695;dpree;2.00000;104
2729;ryan-allen;1.47712;0
2963;killerswan;0.00000;0
2980;darkf;0.77815;1
18992;appleboy;1.00000;6
19060;silvinci;1.30103;1
19076;JacksonTian;2.30103;11
20044;eventualbuddha;0.30103;0
20179;strk;2.30103;0
1478608;CVRWCVGA;0.00000;0
21266;masterbee;1.30103;0
21464;mojodna;0.30103;0
21648;maul-esel;46.20683;1
21882;christopherobin;1.00000;0
22516;wbzyl;2.60206;0
22801;cliffano;1.47712;0
23402;hemanth;2.11394;1
45646;adrianlang;2.77815;0
47219;jakebellacera;0.60206;2
48738;jbclements;1.83885;1
48889;upsuper;0.00000;0
49024;machadogj;1.30103;1
865561;rgaskill;0.00000;0
77784;stonephp;2.30103;0
866515;mdevils;5.41497;2
79741;manuelcabral;1.30103;1
84021;fantactuka;1.77815;0
2132433;JXIWYIFX;0.30103;0
107366;joezimjs;0.00000;0
108787;rlidwka;2.60206;0
954390;BKize;1.77815;0
989033;altsang;1.36173;0
212938;jasnell;0.00000;1
245980;spmason;1.84510;0
249492;mdayaram;1.00000;4
249590;toffaletti;0.30103;1
254622;imcnally;1.00000;1
1062834;createbang;2.30103;1
302049;ccowan;1.00000;1
387704;lukeasrodgers;1.00000;0
1773917;arakir;1.47712;0
2389018;p2j4d2c;1.69897;0
462474;bajtos;20.92942;1
2397226;OUUOASHQ;0.00000;0
532885;davidensinger;0.00000;0
681238;hoegaarden;0.00000;0
2534384;pleebe;1.30103;0
2572958;KIKYYIWK;0.30103;0
754257;kingFighter;1.59106;2
8648;brianc;25.81954;1
9080;koenpunt;1.47712;0
9215;rmg;0.00000;0
10186;nylen;0.00000;0
10803;rozza;0.00000;0
11037;jzaefferer;0.00000;0
11136;joaojeronimo;0.60206;0
12205;p0deje;1.30103;1
12943;treyhunner;0.00000;2
802454;catsby;2.00000;1
32731;robertkowalski;21.82607;1
32796;doochik;0.84510;17
33799;jpiasetz;3.69897;6
34369;sidorares;0.30103;105
34383;benbalter;23.63347;16
35319;vtambourine;0.00000;2
61257;haihappen;0.00000;1
63897;envygeeks;0.00000;0
64767;madjar;0.00000;0
2100344;eugeneware;1.60206;11
855051;nkzawa;1.00000;1
67326;mente;1.00000;0
67859;Mithgol;13.11394;0
10;mcollina;0.00000;24
203;seanmonstar;0.00000;0
355;christkv;7.11059;0
962;bcantrill;0.00000;0
1003;mmalecki;1.47712;3
1550;pborreli;0.00000;0
1900;guille;0.00000;0
1975;lkuper;1.04139;0
2016;bblum;2.02531;0
2093;craigbarnes;0.00000;0
2198;julianduque;0.00000;0
2391;felipesabino;1.00000;1
2795;masondesu;1.00000;20
2809;makeusabrew;1.30103;1
2877;jfager;0.30103;0
3002;bstrie;0.00000;0
3027;z0w0;0.00000;0
19455;remy;1.00000;0
20157;samccone;8.69897;0
20418;Zearin;2.47712;3
20450;campd;1.60206;0
20993;nschonni;3.30103;63
21509;psyked;1.47712;2
22747;XhmikosR;2.49136;3
23390;losingkeys;2.60206;2
48937;alexcrichton;3.60531;1
78817;Geal;0.47712;0
867229;sethkinast;1.60206;0
80816;hacksparrow;0.00000;1
106016;Fishrock123;1.00000;0
106334;asilvas;0.30103;0
106511;dylanahsmith;0.00000;0
1544601;jannypie;2.00000;1
108347;kaelzhang;1.30103;17
108399;luqmana;1.56820;1
110105;bcully;2.60206;0
111014;richarddong;0.30103;0
